url_path,views_total,views_unique
/kingsdigitallab/layers-of-vision/tree/main/frontend/people,69,4
/kingsdigitallab/layers-of-vision,64,7
/kingsdigitallab/layers-of-vision/tree/main/frontend,52,5
/kingsdigitallab/layers-of-vision/actions,34,5
/kingsdigitallab/layers-of-vision/tree/main/frontend/assets,25,4
/kingsdigitallab/layers-of-vision/blob/main/frontend/people/06-achristina-corrigan.md,21,2
/kingsdigitallab/layers-of-vision/blob/main/frontend/people/02-msmithen.md,17,3
/kingsdigitallab/layers-of-vision/tree/main/frontend/assets/img/artists,16,4
/kingsdigitallab/layers-of-vision/blob/main/frontend/people/07-sbooth.md,14,2
/kingsdigitallab/layers-of-vision/edit/main/frontend/people/06-achristina-corrigan.md,13,2
