time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-03 00:00:00+00:00,45.0,18.0,32.0,4.0
2022-11-04 00:00:00+00:00,21.0,10.0,3.0,2.0
2022-11-05 00:00:00+00:00,1.0,1.0,,
2022-11-07 00:00:00+00:00,38.0,16.0,91.0,6.0
2022-11-08 00:00:00+00:00,26.0,11.0,154.0,4.0
2022-11-09 00:00:00+00:00,106.0,36.0,185.0,6.0
2022-11-10 00:00:00+00:00,74.0,24.0,77.0,3.0
2022-11-11 00:00:00+00:00,8.0,5.0,57.0,2.0
2022-11-13 00:00:00+00:00,,,1.0,1.0
2022-11-14 00:00:00+00:00,,,8.0,2.0
2022-11-15 00:00:00+00:00,,,7.0,2.0
2022-11-16 00:00:00+00:00,70.0,24.0,394.0,4.0
